publishedAt,authorDisplayName,textDisplay
2023-10-11T09:03:19Z,@Pokuskan,syukur alhamdulillah.. .. smoga tidak ada lagi online shop2 yang seperti beginian .. buat pedagang2 pasar tradisional ..mall ..maupun pedagang keliling.. semoga setelah di tutupnya aplikasi ini jadi bisa makin berkembang kedepannya . amiin..
2023-10-17T06:17:25Z,@cargiewinata1963,Galau
2023-10-11T03:32:45Z,@dewiyunita5479,Sebetulnya pro kontra ada  yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli .Semua itu juga tergantung masyarakat kita yang merasakan masing masing
2023-10-09T06:55:21Z,@user-zw3wm1op5p,"Percuma tiktokshop ditutup,, masih banyak belanja online. Kenapa tidak sekalian semua belanja online di tutup, sekarang zamannya orang tidak mau pada ribet selama bisa online…"
2023-10-08T15:34:50Z,@arisudjiman3415,"Toko dan pasar Ofline di daerah Setiap hari menangis gara gara gempuran Online, Cari pelaris saja sulit."
2023-10-08T13:27:23Z,@Konsorsium_303," alah tai kamu egois dan maruk , yang jadi penjual bukan kamu doang, kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau menang sendiri"
2023-10-07T15:28:56Z,@triharyanto513,Bubarin saja tiktok sekalian suruh pulang ke China
2023-10-07T10:08:57Z,@widyaamellya7250,Saya sangat sejutu ditutup
2023-10-07T07:20:59Z,@anishamzah904,Ah Paling juga pengalihan isu nanti juga dibuka lagi kalau ikan udah jadi tenang saja
2023-10-07T04:44:28Z,@BlackDiamond-sw8lo,kebijakan free ongkir yang harusnya dibenerin. kalahnya umkm di daerahkan karena ongkos angkutnya mahal. kontrak perusahaan ekspedisi dan ecommerce harus diawasi. tanpa free ongkir sebenarnya barang2 di ecommerce sebenarnya lebih mahal.
2023-10-07T01:23:25Z,@kentung.9233,Alhamdulliah lagian udah pada kaya yang jualan di tiktok
2023-10-06T22:40:43Z,@fadilarshil0326,Udah pada kaya yang buka lapak di tiktokshop. Duitnya udah milyaran. Udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop. Tetapi di sisi lain banyak pedagang2 yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop. Contohnya pasar tanah abang. Yang dulunya rame sekarang jadi sepi seperti kuburan. Semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup.
2023-10-06T15:16:10Z,@ranticepi1862,Makanya bayar pajak sekalian saja tiktoknya dihapus di indonesia
2023-10-06T07:52:50Z,@AntoToken,Bangun aplikasi sendiri khususnya  mengutamakan produk lokal
