,publishedAt,authorDisplayName,textDisplay,textDisplay_Tokens
0,2023-10-11T09:03:19Z,@Pokuskan,syukur alhamdulillah smoga tidak ada lagi online shop yang seperti beginian buat pedagang pasar tradisional mall maupun pedagang keliling semoga setelah di tutupnya aplikasi ini jadi bisa makin berkembang kedepannya amiin,syukur alhamdulillah smoga tidak ada lagi online shop yang seperti begini buat dagang pasar tradisional mall maupun dagang keliling moga telah di tutup aplikasi ini jadi bisa makin kembang depan amiin
1,2023-10-17T06:17:25Z,@cargiewinata1963,galau,galau
2,2023-10-11T03:32:45Z,@dewiyunita5479,sebetulnya pro kontra ada yang di untungkan dan di rugikan bagi pembeli enaknya tidak keluar rumah termasuk mengurangi angka kecelakaan dan enaknya tepat cepat yang aku beli semua itu juga tergantung masyarakat kita yang merasakan masing masing,betul pro kontra ada yang di untung dan di rugi bagi beli enak tidak keluar rumah masuk kurang angka celaka dan enak tepat cepat yang aku beli semua itu juga gantung masyarakat kita yang rasa masing masing
3,2023-10-09T06:55:21Z,@user-zw3wm1op5p,percuma tiktokshop ditutup masih banyak belanja online kenapa tidak sekalian semua belanja online di tutup sekarang zamannya orang tidak mau pada ribet selama bisa online,percuma tiktokshop tutup masih banyak belanja online kenapa tidak sekali semua belanja online di tutup sekarang zaman orang tidak mau pada ribet lama bisa online
4,2023-10-08T15:34:50Z,@arisudjiman3415,toko dan pasar ofline di daerah setiap hari megis gara gara gempuran online cari pelaris saja sulit,toko dan pasar ofline di daerah tiap hari megis gara gara gempur online cari laris saja sulit
5,2023-10-08T13:27:23Z,@Konsorsium_303,alah tai kamu egois dan maruk yang jadi penjual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau meg sendiri,alah tai kamu egois dan maruk yang jadi jual bukan kamu doang kalau soal modernisasi mereka jelas kalah tapi mereka semua sama jadi anda jangan mau meg sendiri
6,2023-10-07T15:28:56Z,@triharyanto513,bubarin saja tiktok sekalian suruh pulang ke china,bubarin saja tiktok sekali suruh pulang ke china
7,2023-10-07T10:08:57Z,@widyaamellya7250,saya sangat sejutu ditutup,saya sangat sejutu tutup
8,2023-10-07T07:20:59Z,@anishamzah904,ah paling juga pengalihan isu ti juga dibuka lagi kalau ikan udah jadi teg saja,ah paling juga alih isu ti juga buka lagi kalau ikan udah jadi teg saja
9,2023-10-07T04:44:28Z,@BlackDiamond-sw8lo,kebijakan free ongkir yang harusnya dibenerin kalahnya umkm di daerahkan karena ongkos angkutnya mahal kontrak perusahaan ekspedisi dan ecommerce harus diawasi tanpa free ongkir sebenarnya barang di ecommerce sebenarnya lebih mahal,bijak free ongkir yang harus dibenerin kalah umkm di daerah karena ongkos angkut mahal kontrak usaha ekspedisi dan ecommerce harus awas tanpa free ongkir benar barang di ecommerce benar lebih mahal
10,2023-10-07T01:23:25Z,@kentung.9233,alhamdulliah lagian udah pada kaya yang jualan di tiktok,alhamdulliah lagi udah pada kaya yang jual di tiktok
11,2023-10-06T22:40:43Z,@fadilarshil0326,udah pada kaya yang buka lapak di tiktokshop duitnya udah milyaran udah pada punya rumah mewah mobil baru tabungan numpuk dari tiktokshop tetapi di sisi lain banyak pedagang yang sepi dan tutup karena dagangannya tidak laku gegara tiktok shop contohnya pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kuburan semoga sekarang para pedagangnya rame lagi dan laris manis setelah tiktokshop ditutup,udah pada kaya yang buka lapak di tiktokshop duit udah milyaran udah pada punya rumah mewah mobil baru tabung numpuk dari tiktokshop tetapi di sisi lain banyak dagang yang sepi dan tutup karena dagang tidak laku gegara tiktok shop contoh pasar tanah abang yang dulunya rame sekarang jadi sepi seperti kubur moga sekarang para dagang rame lagi dan laris manis telah tiktokshop tutup
